time,value
0,29.25
1,29.25
2,29.50
3,29.50
4,29.00
5,29.50
6,29.50
7,29.25
8,29.25
9,29.50
10,29.75
11,29.25
12,29.00
13,29.00
14,29.50
15,29.25
16,30.25
17,29.50
18,29.25
19,29.00
20,29.00
21,29.25
22,29.25
23,30.00
24,29.50
25,29.50
26,29.25
27,29.75
28,29.25
29,29.25
30,29.75
31,30.00
32,30.00
33,29.25
34,29.50
35,29.50
36,29.00
37,29.75
38,29.50
39,29.50
40,28.50
41,27.75
42,27.75
43,28.00
44,27.75
45,28.00
46,27.00
47,27.50
48,27.25
49,27.75
50,27.00
51,27.25
52,27.50
53,27.00
54,27.50
55,27.75
56,27.00
57,27.75
58,27.25
59,27.25
60,27.25
61,27.25
62,27.00
63,27.00
64,26.75
65,26.75
66,26.50
67,27.00
68,27.00
69,26.25
70,26.50
71,26.75
72,26.25
73,26.25
74,26.00
75,25.75
76,26.00
77,26.25
78,26.50
79,26.00
